127.0.0.1 - - [19/Sep/2018:11:29:50 +0000] "GET /2018/09/19/hello-world/ HTTP/1.0" 200 57611 "http://test-website.local/2018/09/19/hello-world/" "WordPress/4.9.8; http://test-website.local"
127.0.0.1 - - [19/Sep/2018:11:29:53 +0000] "POST /wp-cron.php?doing_wp_cron=1537356591.6713199615478515625000 HTTP/1.0" 499 0 "http://test-website.local/wp-cron.php?doing_wp_cron=1537356591.6713199615478515625000" "WordPress/4.9.8; http://test-website.local"
127.0.0.1 - - [19/Sep/2018:12:28:20 +0000] "GET /wp-admin HTTP/1.0" 301 178 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36"
127.0.0.1 - - [19/Sep/2018:12:28:20 +0000] "GET /wp-admin HTTP/1.0" 301 178 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36"
127.0.0.1 - - [19/Sep/2018:12:28:46 +0000] "GET /wp-admin/ HTTP/1.0" 302 0 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36"
127.0.0.1 - - [19/Sep/2018:12:28:46 +0000] "GET /wp-admin/ HTTP/1.0" 302 0 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36"
127.0.0.1 - - [19/Sep/2018:12:28:46 +0000] "GET /wp-admin/ HTTP/1.0" 302 0 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36"
127.0.0.1 - - [19/Sep/2018:12:28:46 +0000] "GET /wp-login.php?redirect_to=http%3A%2F%2Ftest-website.local%2Fwp-admin%2F&reauth=1 HTTP/1.0" 200 2285 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36"
127.0.0.1 - - [19/Sep/2018:12:28:46 +0000] "GET /wp-login.php?redirect_to=http%3A%2F%2Ftest-website.local%2Fwp-admin%2F&reauth=1 HTTP/1.0" 200 2285 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36"
127.0.0.1 - - [19/Sep/2018:12:28:46 +0000] "GET /wp-login.php?redirect_to=http%3A%2F%2Ftest-website.local%2Fwp-admin%2F&reauth=1 HTTP/1.0" 200 2285 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36"
127.0.0.1 - - [19/Sep/2018:12:28:46 +0000] "GET /wp-admin/load-styles.php?c=0&dir=ltr&load%5B%5D=dashicons,buttons,forms,l10n,login&ver=4.9.8 HTTP/1.0" 200 104364 "http://test-website.local/wp-login.php?redirect_to=http%3A%2F%2Ftest-website.local%2Fwp-admin%2F&reauth=1" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36"
127.0.0.1 - - [19/Sep/2018:12:28:47 +0000] "GET /favicon.ico HTTP/1.0" 200 0 "http://test-website.local/wp-login.php?redirect_to=http%3A%2F%2Ftest-website.local%2Fwp-admin%2F&reauth=1" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36"
